"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39302","validating menu items","webkit","Wed Nov 26 23:42:59 BRST 2025","broken","Wed Nov 26 23:43:38 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case validates the presence, visibility, and functionality of the main menu items on the home page.","12573","Validating menu items functionality","webkit","Thu Nov 27 00:05:33 BRST 2025","passed","Thu Nov 27 00:05:45 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","7121","validating Featured Items section","webkit","Sat Nov 22 14:58:01 BRST 2025","passed","Sat Nov 22 14:58:08 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","20360","TC9 - Search Product","webkit","Thu Nov 27 00:06:54 BRST 2025","passed","Thu Nov 27 00:07:15 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case checks the visibility and correctness of the title in the Featured Items section on the home page.","12609","Validating Featured Items section title visibility and text","webkit","Thu Nov 27 00:05:58 BRST 2025","passed","Thu Nov 27 00:06:11 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","9548","validating logo is visible","chromium","Sat Nov 22 14:54:09 BRST 2025","passed","Sat Nov 22 14:54:18 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","1641","TC5 - Register User with existing email","chromium","Thu Nov 27 00:02:27 BRST 2025","skipped","Thu Nov 27 00:02:29 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case verifies the hover behavior of products in the Featured Items section, ensuring that overlays and Add to Cart buttons appear correctly.","33558","Validating Featured Items product hover behavior","firefox","Thu Nov 27 00:03:47 BRST 2025","broken","Thu Nov 27 00:04:21 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","12284","TC9 - Search Product","firefox","Thu Nov 27 00:04:35 BRST 2025","passed","Thu Nov 27 00:04:48 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case checks that each product in the Featured Items section displays its name, price, and image correctly.","13394","Validating Featured Items product information visibility","chromium","Thu Nov 27 00:02:10 BRST 2025","passed","Thu Nov 27 00:02:23 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","7334","validating carrousel","chromium","Sat Nov 22 14:54:22 BRST 2025","passed","Sat Nov 22 14:54:30 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","15246","validating carrousel buttons","firefox","Sat Nov 22 14:55:46 BRST 2025","passed","Sat Nov 22 14:56:01 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","11148","validating menu items","firefox","Sat Nov 22 14:55:35 BRST 2025","passed","Sat Nov 22 14:55:46 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","10411","validating Featured Items section","firefox","Sat Nov 22 14:55:54 BRST 2025","passed","Sat Nov 22 14:56:04 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","80","TC6 - Contact Us Form","webkit","Thu Nov 27 00:06:33 BRST 2025","skipped","Thu Nov 27 00:06:33 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case checks that each product in the Featured Items section displays its name, price, and image correctly.","20817","Validating Featured Items product information visibility","webkit","Thu Nov 27 00:06:11 BRST 2025","passed","Thu Nov 27 00:06:32 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","19530","validating logo is visible","firefox","Sat Nov 22 14:55:14 BRST 2025","passed","Sat Nov 22 14:55:34 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","27","TC6 - Contact Us Form","firefox","Thu Nov 27 00:04:23 BRST 2025","skipped","Thu Nov 27 00:04:23 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","16383","TC8 - Verify All Products and product detail page","webkit","Thu Nov 27 00:06:50 BRST 2025","passed","Thu Nov 27 00:07:06 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This is a background step that ensures the home page is fully loaded before executing any test cases within this suite.","15199","Validating home page load","chromium","Tue Nov 25 23:51:13 BRST 2025","passed","Tue Nov 25 23:51:28 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","40391","validating carrousel","webkit","Wed Nov 26 23:43:00 BRST 2025","broken","Wed Nov 26 23:43:41 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","5130","validating Featured Items section","chromium","Sat Nov 22 14:54:30 BRST 2025","passed","Sat Nov 22 14:54:35 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This is a background step that ensures the home page is fully loaded before executing any test cases within this suite.","18684","Validating home page load","firefox","Tue Nov 25 23:52:51 BRST 2025","passed","Tue Nov 25 23:53:09 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","29472","validating status code 200","webkit","Wed Nov 26 23:42:27 BRST 2025","passed","Wed Nov 26 23:42:57 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case verifies that the buttons on each carrousel slide are visible and functional, ensuring users can interact with them as intended.","16530","Validating carrousel slide buttons visibility and functionality","firefox","Thu Nov 27 00:03:30 BRST 2025","passed","Thu Nov 27 00:03:46 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case checks the visibility and correctness of the title in the Featured Items section on the home page.","8007","Validating Featured Items section title visibility and text","chromium","Thu Nov 27 00:02:02 BRST 2025","passed","Thu Nov 27 00:02:10 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case verifies the hover behavior of products in the Featured Items section, ensuring that overlays and Add to Cart buttons appear correctly.","32940","Validating Featured Items product hover behavior","webkit","Thu Nov 27 00:06:09 BRST 2025","broken","Thu Nov 27 00:06:42 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case verifies that the buttons on each carrousel slide are visible and functional, ensuring users can interact with them as intended.","9226","Validating carrousel slide buttons visibility and functionality","chromium","Thu Nov 27 00:01:59 BRST 2025","passed","Thu Nov 27 00:02:08 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","17353","TC10 - Verify Subscription in home page","firefox","Thu Nov 27 00:04:48 BRST 2025","passed","Thu Nov 27 00:05:05 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","13011","validating Featured Itens product information","webkit","Sat Nov 22 14:58:08 BRST 2025","passed","Sat Nov 22 14:58:21 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","978","TC1 - Register User (Need to implement an delay in some point)","chromium","Thu Nov 27 00:02:24 BRST 2025","skipped","Thu Nov 27 00:02:25 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","34903","validating Featured Itens overlay and Add to cart button","firefox","Sat Nov 22 14:56:01 BRST 2025","broken","Sat Nov 22 14:56:36 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","22","TC1 - Register User (Need to implement an delay in some point)","firefox","Thu Nov 27 00:04:23 BRST 2025","skipped","Thu Nov 27 00:04:23 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","539","TC2 - Login User with correct email and password","chromium","Thu Nov 27 00:02:25 BRST 2025","skipped","Thu Nov 27 00:02:26 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case validates the presence, visibility, and functionality of the main menu items on the home page.","10283","Validating menu items functionality","chromium","Thu Nov 27 00:01:49 BRST 2025","passed","Thu Nov 27 00:01:59 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case verifies that the home page returns a status code of 200, indicating successful loading of the page.","10808","Validating home page status code","webkit","Thu Nov 27 00:05:19 BRST 2025","passed","Thu Nov 27 00:05:29 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case verifies that the buttons on each carrousel slide are visible and functional, ensuring users can interact with them as intended.","23040","Validating carrousel slide buttons visibility and functionality","webkit","Thu Nov 27 00:05:46 BRST 2025","passed","Thu Nov 27 00:06:09 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","37","TC2 - Login User with correct email and password","webkit","Thu Nov 27 00:06:32 BRST 2025","skipped","Thu Nov 27 00:06:32 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case checks if the logo is visible on the home page and verifies its alt attribute for accessibility compliance.","14850","Validating logo visibility and alt attribute","firefox","Thu Nov 27 00:03:01 BRST 2025","passed","Thu Nov 27 00:03:16 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","58","TC4 - Logout User","firefox","Thu Nov 27 00:04:23 BRST 2025","skipped","Thu Nov 27 00:04:23 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","131","TC6 - Contact Us Form","chromium","Thu Nov 27 00:02:30 BRST 2025","skipped","Thu Nov 27 00:02:30 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","11597","TC10 - Verify Subscription in home page","webkit","Thu Nov 27 00:07:07 BRST 2025","passed","Thu Nov 27 00:07:18 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","14812","validating carrousel buttons","webkit","Sat Nov 22 14:57:49 BRST 2025","passed","Sat Nov 22 14:58:04 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","131","TC2 - Login User with correct email and password","firefox","Thu Nov 27 00:04:23 BRST 2025","skipped","Thu Nov 27 00:04:23 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","15766","validating Featured Itens product information","chromium","Sat Nov 22 14:54:35 BRST 2025","passed","Sat Nov 22 14:54:51 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case checks if the logo is visible on the home page and verifies its alt attribute for accessibility compliance.","11614","Validating logo visibility and alt attribute","webkit","Thu Nov 27 00:05:20 BRST 2025","passed","Thu Nov 27 00:05:31 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case validates the presence, visibility, and functionality of the main menu items on the home page.","11008","Validating menu items functionality","firefox","Thu Nov 27 00:03:19 BRST 2025","passed","Thu Nov 27 00:03:30 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case checks the functionality of the carrousel on the home page, ensuring that navigation buttons work correctly and the appropriate slides are displayed.","12729","Validating carrousel navigation functionality","chromium","Thu Nov 27 00:01:49 BRST 2025","passed","Thu Nov 27 00:02:02 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","28960","validating status code 200","firefox","Wed Nov 26 23:39:54 BRST 2025","passed","Wed Nov 26 23:40:23 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","4540","validating menu items","chromium","Sat Nov 22 14:54:21 BRST 2025","passed","Sat Nov 22 14:54:25 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","19695","validating Featured Itens overlay and Add to cart button","chromium","Sat Nov 22 14:54:32 BRST 2025","passed","Sat Nov 22 14:54:51 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","802","TC4 - Logout User","chromium","Thu Nov 27 00:02:26 BRST 2025","skipped","Thu Nov 27 00:02:27 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","17033","validating Featured Itens product information","firefox","Sat Nov 22 14:56:05 BRST 2025","passed","Sat Nov 22 14:56:22 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case checks if the logo is visible on the home page and verifies its alt attribute for accessibility compliance.","14052","Validating logo visibility and alt attribute","chromium","Thu Nov 27 00:01:33 BRST 2025","passed","Thu Nov 27 00:01:47 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case verifies the hover behavior of products in the Featured Items section, ensuring that overlays and Add to Cart buttons appear correctly.","23863","Validating Featured Items product hover behavior","chromium","Thu Nov 27 00:02:08 BRST 2025","passed","Thu Nov 27 00:02:32 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","6248","validating carrousel buttons","chromium","Sat Nov 22 14:54:25 BRST 2025","passed","Sat Nov 22 14:54:32 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","11688","TC7 - Verify Test Cases Page","firefox","Thu Nov 27 00:04:23 BRST 2025","passed","Thu Nov 27 00:04:35 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case verifies that the home page returns a status code of 200, indicating successful loading of the page.","14324","Validating home page status code","firefox","Thu Nov 27 00:03:00 BRST 2025","passed","Thu Nov 27 00:03:14 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","47","TC5 - Register User with existing email","webkit","Thu Nov 27 00:06:32 BRST 2025","skipped","Thu Nov 27 00:06:32 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case verifies that the home page returns a status code of 200, indicating successful loading of the page.","13450","Validating home page status code","chromium","Thu Nov 27 00:01:33 BRST 2025","passed","Thu Nov 27 00:01:47 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","13981","TC8 - Verify All Products and product detail page","chromium","Thu Nov 27 00:02:33 BRST 2025","passed","Thu Nov 27 00:02:46 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","36959","validating Featured Itens overlay and Add to cart button","webkit","Sat Nov 22 14:58:04 BRST 2025","broken","Sat Nov 22 14:58:41 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","27220","TC8 - Verify All Products and product detail page","firefox","Thu Nov 27 00:04:40 BRST 2025","passed","Thu Nov 27 00:05:07 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","9053","validating logo is visible","webkit","Sat Nov 22 14:57:40 BRST 2025","passed","Sat Nov 22 14:57:49 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","21399","TC7 - Verify Test Cases Page","webkit","Thu Nov 27 00:06:33 BRST 2025","passed","Thu Nov 27 00:06:54 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case checks the functionality of the carrousel on the home page, ensuring that navigation buttons work correctly and the appropriate slides are displayed.","26678","Validating carrousel navigation functionality","firefox","Thu Nov 27 00:03:20 BRST 2025","passed","Thu Nov 27 00:03:47 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","101","TC1 - Register User (Need to implement an delay in some point)","webkit","Thu Nov 27 00:06:32 BRST 2025","skipped","Thu Nov 27 00:06:32 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case checks the visibility and correctness of the title in the Featured Items section on the home page.","14627","Validating Featured Items section title visibility and text","firefox","Thu Nov 27 00:03:46 BRST 2025","passed","Thu Nov 27 00:04:01 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case checks the functionality of the carrousel on the home page, ensuring that navigation buttons work correctly and the appropriate slides are displayed.","24490","Validating carrousel navigation functionality","webkit","Thu Nov 27 00:05:33 BRST 2025","passed","Thu Nov 27 00:05:58 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","42","TC4 - Logout User","webkit","Thu Nov 27 00:06:32 BRST 2025","skipped","Thu Nov 27 00:06:32 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","17026","validating status code 200","chromium","Wed Nov 26 23:38:18 BRST 2025","passed","Wed Nov 26 23:38:35 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","14918","validating carrousel","firefox","Sat Nov 22 14:55:39 BRST 2025","passed","Sat Nov 22 14:55:54 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","16006","TC9 - Search Product","chromium","Thu Nov 27 00:02:39 BRST 2025","passed","Thu Nov 27 00:02:55 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case checks that each product in the Featured Items section displays its name, price, and image correctly.","21368","Validating Featured Items product information visibility","firefox","Thu Nov 27 00:04:01 BRST 2025","passed","Thu Nov 27 00:04:23 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","8306","TC7 - Verify Test Cases Page","chromium","Thu Nov 27 00:02:30 BRST 2025","passed","Thu Nov 27 00:02:38 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This is a background step that ensures the home page is fully loaded before executing any test cases within this suite.","13632","Validating home page load","webkit","Tue Nov 25 23:54:55 BRST 2025","passed","Tue Nov 25 23:55:09 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","10387","TC10 - Verify Subscription in home page","chromium","Thu Nov 27 00:02:47 BRST 2025","passed","Thu Nov 27 00:02:57 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","44","TC5 - Register User with existing email","firefox","Thu Nov 27 00:04:23 BRST 2025","skipped","Thu Nov 27 00:04:23 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
